rank,title,studio,worldwide,domestic,dom_pct,overseas,os_pct
272,Tehran Taboo,KL,74800.0,74800.0,100.0,0.0,0.0
273,The Last Suit,OutF,73500.0,73500.0,100.0,0.0,0.0
274,"Nico, 1988",Magn.,73300.0,73300.0,100.0,0.0,0.0
275,Antonio Lopez 1970: Sex Fashion & Disco,FM,73100.0,43200.0,59.0,30000.0,41.0
276,Helicopter Eela,Eros,72000.0,72000.0,100.0,0.0,0.0
277,Under the Tree,Magn.,67600.0,67600.0,100.0,0.0,0.0
278,Before We Vanish,Super,52100.0,52100.0,100.0,0.0,0.0
279,I Am Not a Witch,FM,50900.0,50900.0,100.0,0.0,0.0
280,Racer & the Jailbird,Super,46300.0,46300.0,100.0,0.0,0.0
281,Rodin,Cohen,44300.0,44300.0,100.0,0.0,0.0
282,What Will People Say,KL,44200.0,44200.0,100.0,0.0,0.0
283,A Ciambra,IFC,41900.0,41900.0,100.0,0.0,0.0
284,Oolong Courtyard,CL,37700.0,37700.0,100.0,0.0,0.0
285,Girls vs Gangsters,WGUSA,37100.0,37100.0,100.0,0.0,0.0
286,"No Date, No Signature",Distrib.,36400.0,36400.0,100.0,0.0,0.0
287,The Apparition (2018),MBox,28300.0,28300.0,100.0,0.0,0.0
288,The Charmer,FM,26200.0,26200.0,100.0,0.0,0.0
289,Elliot: The Littlest Reindeer,Scre.,24300.0,24300.0,100.0,0.0,0.0
290,The Workshop,Strand,22100.0,22100.0,100.0,0.0,0.0
291,Loving Pablo,Uni.,22000.0,22000.0,100.0,0.0,0.0
292,A Paris Education,KL,21600.0,21600.0,100.0,0.0,0.0
293,Tag Along: The Devil Fish,CL,20700.0,20700.0,100.0,0.0,0.0
294,Gabriel and the Mountain,Strand,18400.0,18400.0,100.0,0.0,0.0
295,Marlina the Murderer in Four Acts,Icar.,17800.0,17800.0,100.0,0.0,0.0
296,The Escape,IFC,14000.0,14000.0,100.0,0.0,0.0
297,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,13000.0,13000.0,100.0,0.0,0.0
298,"Lou Andreas-Salomé, the Audacity to be Free",CLS,12900.0,12900.0,100.0,0.0,0.0
299,Let Yourself Go,Men.,12200.0,12200.0,100.0,0.0,0.0
300,Hannah (2018),PDF,11700.0,11700.0,100.0,0.0,0.0
301,Souvenir,Strand,11400.0,11400.0,100.0,0.0,0.0
302,Furious (Legend of Kolovrat),CARUSEL,10000.0,10000.0,100.0,0.0,0.0
303,Beauty and the Dogs,Osci.,8900.0,8900.0,100.0,0.0,0.0
304,The Quake,Magn.,6200.0,6200.0,100.0,0.0,0.0
305,Edward II (2018 re-release),FM,4800.0,4800.0,100.0,0.0,0.0
306,El Pacto,Sony,2500.0,2500.0,100.0,0.0,0.0
307,The Swan,Synergetic,2400.0,2400.0,100.0,0.0,0.0
308,An Actor Prepares,Grav.,1700.0,1700.0,100.0,0.0,0.0
