title,rank,rating,imdbscore,movie_directors
The Spy Gone North,224,Not Rated,7.2,Jong-bin Yoon
The Happy Prince,225,R,6.3,Rupert Everett
Final Portrait,226,R,6.3,Stanley Tucci
A Bag of Marbles,227,N/A,7.3,Christian Duguay
Vertigo,228,PG,8.3,Alfred Hitchcock
Oh Lucy!,229,N/A,6.8,Atsuko Hirayanagi
Mountain,230,PG,7.2,Jennifer Peedom
Time Freak,231,PG-13,5.7,Andrew Bowler
What They Had,232,R,6.6,Elizabeth Chomko
Batti Gul Meter Chalu,233,Not Rated,6.3,Shree Narayan Singh
Borg vs. McEnroe,234,R,7.0,Janus Metz
Matangi/Maya/M.I.A.,235,N/A,7.6,Steve Loveridge
Mazinger Z: Infinity,236,TV-14,6.0,Junji Shimizu
Fate/Stay Night: Heaven's Feel - I. Presage Flower,237,N/A,7.2,Tomonori Sudô
Summer 1993,238,N/A,7.2,Carla Simón
Maquia: When the Promised Flower Blooms,239,N/A,7.5,Mari Okada
Karwaan,240,Not Rated,7.5,Akarsh Khurana
Last Letter,241,N/A,N/A,Kevin Bisbangian
The Accidental Detective 2: In Action,242,N/A,6.5,Eon-hie Lee
The Guardians,243,R,6.8,Xavier Beauvois
Luis,244,N/A,5.7,N/A
Double Lover,245,Not Rated,6.2,François Ozon
Ghost Stories,246,Not Rated,6.4,"Jeremy Dyson, Andy Nyman"
Museo,247,N/A,7.1,Alonso Ruizpalacios
The Little Mermaid,248,G,7.6,"Ron Clements, John Musker"
The Young Karl Marx,249,Not Rated,6.6,Raoul Peck
Becoming Astrid,250,N/A,7.2,Pernille Fischer Christensen
Ryuichi Sakamoto: Coda,251,N/A,7.7,Stephen Nomura Schible
Gonjiam: Haunted Asylum,252,Not Rated,6.1,Beom-sik Jeong
Take Point,253,Not Rated,5.7,Byung-woo Kim
The Dawn Wall,254,Not Rated,8.1,"Josh Lowell, Peter Mortimer"
The Negotiation,255,Not Rated,6.5,Jong-suk Lee
The Captain,256,N/A,7.4,Robert Schwentke
Mary Shelley,257,PG-13,6.4,Haifaa Al-Mansour
In Between,258,N/A,7.3,Maysaloun Hamoud
Namaste England,259,N/A,1.5,Vipul Amrutlal Shah
Happy Phirr Bhag Jayegi,260,Not Rated,4.5,Mudassar Aziz
Ismael's Ghosts,261,R,5.6,Arnaud Desplechin
Revenge,262,TV-PG,7.9,N/A
Unstoppable,263,PG-13,6.8,Tony Scott
Reign of Judges: Title of Liberty - Concept Short,264,N/A,8.9,Darin Southam
The Third Murder,265,Not Rated,6.7,Hirokazu Koreeda
The House That Jack Built,266,R,6.9,Lars von Trier
Custody,267,N/A,7.5,Xavier Legrand
Godard Mon Amour,268,R,6.7,Michel Hazanavicius
Just a Breath Away,269,N/A,5.9,Daniel Roby
The Brawler,270,Not Rated,8.1,Anurag Kashyap
Keys to the Heart,271,N/A,7.4,Sung-Hyun Choi
Tehran Taboo,272,N/A,7.0,Ali Soozandeh
The Last Suit,273,N/A,6.0,Ernst Lubitsch
"Nico, 1988",274,R,6.8,Susanna Nicchiarelli
Antonio Lopez 1970: Sex Fashion & Disco,275,N/A,6.9,James Crump
Helicopter Eela,276,N/A,5.3,Pradeep Sarkar
Under the Tree,277,Not Rated,6.9,Hafsteinn Gunnar Sigurðsson
Before We Vanish,278,R,6.0,Kiyoshi Kurosawa
I Am Not a Witch,279,N/A,6.9,Rungano Nyoni
Racer and the Jailbird,280,R,6.4,Michaël R. Roskam
Rodin,281,Not Rated,4.8,Jacques Doillon
What Will People Say,282,N/A,7.5,Iram Haq
A Ciambra,283,N/A,8.3,Jonas Carpignano
Oolong Courtyard: KungFu School,284,N/A,4.4,Yen-Ping Chu
Girls vs Gangsters,285,N/A,3.5,Chun-Chun Wong
"No Date, No Signature",286,N/A,7.3,Vahid Jalilvand
The Apparition,287,PG-13,4.1,Todd Lincoln
The Charmer,288,N/A,6.8,Milad Alami
Elliot the Littlest Reindeer,289,PG,5.2,Jennifer Westcott
The Workshop,290,Not Rated,6.6,Laurent Cantet
Loving Pablo,291,R,6.3,Fernando León de Aranoa
A Paris Education,292,N/A,6.3,Jean-Paul Civeyrac
Gabriel and the Mountain,294,Not Rated,7.1,Fellipe Barbosa
Marlina the Murderer in Four Acts,295,N/A,7.0,Mouly Surya
The Escape,296,Unrated,5.9,Dominic Savage
"Lou Andreas-Salomé, The Audacity to be Free",298,N/A,6.5,Cordula Kablitz-Post
Let Yourself Go,299,N/A,6.1,Francesco Amato
Hannah,300,TV-MA,5.9,Andrea Pallaoro
Souvenir,301,Not Rated,6.0,Bavo Defurne
Furious,302,N/A,6.3,"Dzhanik Fayziev, Ivan Shurkhovetskiy"
Beauty and the Dogs,303,N/A,7.0,Kaouther Ben Hania
The Quake,304,PG-13,6.2,John Andreas Andersen
Edward II,305,R,6.9,Derek Jarman
El pacto,306,N/A,5.3,N/A
The Swan,307,APPROVED,6.5,Charles Vidor
An Actor Prepares,308,TV-14,5.0,Steve Clark
